# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov  5 01:18:16 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.001 -1.19029 9.80000 0.8999999762 2.4492786016    0.899  0.373  3.8275  4.281    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-13      0.00 8.244e-01 1.748e-01 1.346e-04 3.700e-05 3.380e-04 -1.000 7.558e-04 3.839 3.797 3.991 3.455
0.001 -1.19029 9.80000 0.9054753184 2.4507288903    0.904  0.398  3.8292  4.265    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-13      0.00 8.244e-01 1.749e-01 1.346e-04 3.701e-05 3.381e-04 -1.000 7.112e-04 3.776 3.734 3.925 3.396
0.001 -1.19029 9.80000 0.9145759940 2.4530953207    0.913  0.440  3.8316  4.237    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-13      0.00 8.241e-01 1.751e-01 1.347e-04 3.705e-05 3.383e-04 -1.000 7.999e-04 3.670 3.627 3.814 3.295
0.001 -1.19029 9.80000 0.9260792136 2.4560100818    0.925  0.498  3.8342  4.195    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-13      0.00 8.229e-01 1.763e-01 1.353e-04 3.722e-05 3.398e-04 -1.000 8.000e-04 3.525 3.481 3.664 3.155
0.001 -1.19029 9.80000 0.9349418879 2.4581995971    0.933  0.547  3.8356  4.156    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-13      0.00 8.210e-01 1.782e-01 1.364e-04 3.751e-05 3.425e-04 -1.000 8.000e-04 3.403 3.358 3.538 3.037
0.001 -1.19029 9.80000 0.9360878468 2.4584792262    0.935  0.553  3.8358  4.151    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-13      0.00 8.208e-01 1.784e-01 1.366e-04 3.755e-05 3.428e-04 -1.000 8.000e-04 3.387 3.342 3.522 3.021
0.001 -1.19029 9.80000 0.9422106147 2.4599600172    0.941  0.591  3.8357  4.115    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -4.39e-13      0.00 8.194e-01 1.798e-01 1.374e-04 3.777e-05 3.448e-04 -1.000 7.999e-04 3.293 3.246 3.426 2.925
0.001 -1.19029 9.80000 0.9496526718 2.4617303454    0.948  0.641  3.8340  4.062    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-13      0.00 8.177e-01 1.815e-01 1.384e-04 3.803e-05 3.471e-04 -1.000 8.000e-04 3.168 3.119 3.301 2.796
0.001 -1.19029 9.80000 0.9499999881 2.4618121868    0.948  0.643  3.8339  4.060    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -5.24e-13      0.00 8.176e-01 1.816e-01 1.384e-04 3.804e-05 3.472e-04 -1.000 8.000e-04 3.163 3.113 3.295 2.790
0.001 -1.19029 9.80000 0.9506579041 2.4619670293    0.949  0.647  3.8338  4.055    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -5.32e-13      0.00 8.175e-01 1.817e-01 1.385e-04 3.806e-05 3.474e-04 -1.000 8.000e-04 3.151 3.102 3.284 2.779
